"uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC_Baseline_CREvPLA","CI.L_Baseline_CREvPLA","CI.R_Baseline_CREvPLA","average_intensity_Baseline_CREvPLA","t_Baseline_CREvPLA","B_Baseline_CREvPLA","P.Value_Baseline_CREvPLA","adj.P.Val_Baseline_CREvPLA","sig.PVal_Baseline_CREvPLA","sig.FDR_Baseline_CREvPLA","logFC_Training_CREvPLA","CI.L_Training_CREvPLA","CI.R_Training_CREvPLA","average_intensity_Training_CREvPLA","t_Training_CREvPLA","B_Training_CREvPLA","P.Value_Training_CREvPLA","adj.P.Val_Training_CREvPLA","sig.PVal_Training_CREvPLA","sig.FDR_Training_CREvPLA","logFC_Training_CRE","CI.L_Training_CRE","CI.R_Training_CRE","average_intensity_Training_CRE","t_Training_CRE","B_Training_CRE","P.Value_Training_CRE","adj.P.Val_Training_CRE","sig.PVal_Training_CRE","sig.FDR_Training_CRE","logFC_Training_PLA","CI.L_Training_PLA","CI.R_Training_PLA","average_intensity_Training_PLA","t_Training_PLA","B_Training_PLA","P.Value_Training_PLA","adj.P.Val_Training_PLA","sig.PVal_Training_PLA","sig.FDR_Training_PLA","logFC_Interaction","CI.L_Interaction","CI.R_Interaction","average_intensity_Interaction","t_Interaction","B_Interaction","P.Value_Interaction","adj.P.Val_Interaction","sig.PVal_Interaction","sig.FDR_Interaction"
"A0A087WW87","KV240_HUMAN","IGKV2-40","Immunoglobulin kappa variable 2-40",2,2,FALSE,21.2697451303868,26.4301123992851,NA,25.8456134519824,23.4687284634306,22.2947653094609,NA,26.6484950218965,24.0830776436917,23.5466556087458,22.8758484133403,NA,23.8365317904125,20.369320714451,21.9081639967879,24.3376057524613,NA,23.0887570971478,24.7970495117428,26.544754670476,24.4646126724801,22.7143615004599,1.63766787376329,-0.542373520741969,3.81770926826854,23.8068999527022,1.59136575359475,-4.52261638113357,0.130920366472932,0.96930920464428,0,0,1.17875236519253,-0.961025454331477,3.31853018471654,23.8068999527022,1.16697839036672,-4.57896131863537,0.26017134959234,0.994350208748321,0,0,0.17982554008308,-1.47566229832496,1.83531337849112,23.8068999527022,0.230109366564894,-4.68999055716772,0.820897768766911,0.996032030693816,0,0,0.638741048653838,-1.24546333511902,2.5229454324267,23.8068999527022,0.718134407588315,-5.20510218612134,0.482940621706668,0.980641876538483,0,0,-0.458915508570758,-2.96707542032794,2.04924440318643,23.8068999527022,-0.387602375951771,-4.63418445695789,0.703373962740066,0.996101305024912,0,0
"A0A0B4J1U7","HV601_HUMAN","IGHV6-1","Immunoglobulin heavy variable 6-1",1,1,FALSE,20.6688238281049,22.1975339561607,NA,21.9917211702108,21.5572902390515,NA,NA,23.6172924012209,19.6240020526198,18.2421783533213,NA,NA,22.6368806199968,20.4043666725143,NA,19.6863620102837,18.1176694518945,20.2888389070852,21.8340702147198,23.2188638628154,20.4917311234563,19.9544120962562,2.02632999190886,-0.16621400153328,4.218873985351,20.908252309982,1.98034464814205,-4.4803503072667,0.0674636668909391,0.96930920464428,0,0,1.03359518561359,-1.05326450439428,3.12045487562147,20.908252309982,1.0612950784142,-4.59169915168687,0.306346555053303,0.994350208748321,0,0,-0.332326822105756,-1.97630549715532,1.31165185294381,20.908252309982,-0.433159793114177,-4.66978119734884,0.671432977123023,0.982662080818826,0,0,0.660407984189511,-1.20762479044026,2.52844075881928,20.908252309982,0.757542052437848,-5.14557918591018,0.461163291787198,0.980641876538483,0,0,-0.992734806295267,-3.48115043297597,1.49568082038544,20.908252309982,-0.854848692507324,-4.60704786538613,0.406885566345483,0.996101305024912,0,0
"A0A0B4J1X5","HV374_HUMAN","IGHV3-74","Immunoglobulin heavy variable 3-74",2,2,FALSE,22.5479360979116,27.0465962301699,22.1113419765299,26.315055041602,24.3982006424556,22.8407034832912,22.5714612364345,26.93997800607,24.3070508517406,24.0897133841689,22.706268377216,21.1853965782365,24.1787971194741,22.2929177956921,NA,25.5063580207429,22.1024470119217,23.7449439293496,25.0282460031414,26.5951474746078,23.192246315109,23.1344181039847,1.63275025064264,-0.323300717069958,3.58880121835523,23.9445344609452,1.74621541780053,-4.47198265899679,0.0968037025331904,0.96930920464428,0,0,1.94700708823284,-0.127104230800579,4.02111840726627,23.9445344609452,1.96378390876181,-4.44311916288985,0.0642477608421055,0.994350208748321,0,0,0.986677458898114,-0.684389070386745,2.65774398818297,23.9445344609452,1.23520685203461,-4.55867266367763,0.231701215219941,0.85657495108128,0,0,0.672420621307907,-0.964800707601457,2.30964195021727,23.9445344609452,0.859195227220896,-5.23756313123876,0.400865667244768,0.980641876538483,0,0,0.314256837590207,-2.02517835602638,2.6536920312068,23.9445344609452,0.281016579244861,-4.64617268992275,0.781712924098574,0.996101305024912,0,0
"A0A0B4J1Y9","HV372_HUMAN","IGHV3-72","Immunoglobulin heavy variable 3-72",5,5,FALSE,20.5194159980999,24.7784600293818,19.6556615868873,24.0321326136055,22.280034888077,20.8449248545324,20.9935608525454,24.9247061388833,22.6273330191617,22.3355466271808,21.5529488658592,19.7846429245363,22.1863359748037,20.1250276617297,20.3578295392223,23.2904322021883,20.3445110822938,21.7177816460844,23.6100350625959,25.570199808673,22.1097741498663,20.9713703644332,1.23487235313964,-0.728394171036795,3.19813887731608,22.0278484495746,1.31146006523273,-4.55181503409701,0.204456907329579,0.96930920464428,0,0,2.01231563980667,-0.0849402981833887,4.10957157779673,22.0278484495746,2.00058465972332,-4.43369544534605,0.0591000061871486,0.994350208748321,0,0,1.17475433762414,-0.497648779096383,2.84715745434466,22.0278484495746,1.46459771933941,-4.50490801092455,0.158466459595735,0.85657495108128,0,0,0.397311050957107,-1.26488561777502,2.05950771968924,22.0278484495746,0.498379880646729,-5.4519729192053,0.62361515882421,0.980641876538483,0,0,0.77744328666703,-1.58048587901219,3.13537245234625,22.0278484495746,0.6874644229289,-4.62550073091183,0.499630913333424,0.996101305024912,0,0
"A0A0C4DH25","KVD20_HUMAN","IGKV3D-20","Immunoglobulin kappa variable 3D-20",1,1,FALSE,18.4754583818997,21.826242306794,NA,21.1621660497881,19.3323073444917,17.9773094182275,17.381870566171,22.0088485099612,20.2791749208849,20.0171961535351,19.1993449196738,NA,19.7255209726937,NA,16.0878129313994,20.5288792517193,NA,18.9308453058497,21.1307283995105,23.0109238932736,19.1569875740512,18.5467543728811,1.39919764296117,-0.54696732131179,3.34536260723414,19.7099095151559,1.52302956248703,-4.52514452004124,0.14710227960547,0.96930920464428,0,0,1.60105752404534,-0.487455404390022,3.6895704524807,19.7099095151559,1.62397255763863,-4.51851020607486,0.123747178920079,0.994350208748321,0,0,1.12574638361042,-0.50166050073266,2.75315326795349,19.7099095151559,1.46539035896585,-4.51452388644163,0.162022941068092,0.85657495108128,0,0,0.923886502526251,-0.762425011141054,2.61019801619356,19.7099095151559,1.16061915878541,-4.90960089777667,0.262675759276812,0.980641876538483,0,0,0.201859881084165,-2.14166304142676,2.54538280359509,19.7099095151559,0.182469266197798,-4.64132597866022,0.857486608353724,0.996101305024912,0,0
"A0A0C4DH35","HV335_HUMAN","IGHV3-35","Probable non-functional immunoglobulin heavy variable 3-35",1,1,FALSE,18.7177599158662,21.9243356582598,NA,21.3824413101636,19.1394044872868,NA,17.8809957703109,21.8552136155061,20.0406701426524,19.5498752608812,19.0160246871994,NA,19.5619252910407,18.2598087743175,17.0356161180996,20.360782558629,18.3283278854334,19.6123810862404,20.4873346381038,22.219322200123,NA,18.331640405582,1.36243179100444,-0.261404824191115,2.98626840619999,19.6502144336498,1.77738437217772,-4.47966083256449,0.094350489475364,0.96930920464428,0,0,1.4092877431917,-0.359956704577761,3.17853219096116,19.6502144336498,1.6874105174884,-4.5089263725384,0.110750837969833,0.994350208748321,0,0,0.965606988195486,-0.449996968871987,2.38121094526296,19.6502144336498,1.44499901296831,-4.52160038700845,0.167592678208957,0.85657495108128,0,0,0.918751036008224,-0.453845019801228,2.29134709181768,19.6502144336498,1.41796011005813,-4.67283999224633,0.175219883090348,0.975226410142607,0,0,0.0468559521872614,-1.92493371603011,2.01864562040463,19.6502144336498,0.0503399870460539,-4.64361647168175,0.960469164595212,0.996101305024912,0,0
"A5PL33","KRBA1_HUMAN","KRBA1","Protein KRBA1",1,1,FALSE,24.3886310289929,23.4547580675786,24.4825163850318,25.3836979291775,22.8529335154529,24.4412078851705,24.8633533188115,24.4170569385521,23.9615253658481,24.5705781976638,23.7603157943679,23.5051566456945,24.0077464528744,24.2360316219118,25.044953330747,24.2229081108736,24.0127446128358,24.2460645922262,23.7587791335921,24.3510016187353,24.1910688122114,23.4632968480713,-0.200733196503087,-0.821185211882299,0.419718818876125,24.1643784639282,-0.674564163374407,-4.6400096343653,0.507622596924817,0.96930920464428,0,0,0.509212218545571,-0.153584532414061,1.1720089695052,24.1643784639282,1.60188269459688,-4.50790959348232,0.124750147659335,0.994350208748321,0,0,0.626537228644651,0.098006908630663,1.15506754865864,24.1643784639282,2.47166290592362,-4.22021080708748,0.0224865056872666,0.85657495108128,1,0,-0.0834081864040073,-0.608712958003515,0.4418965851955,24.1643784639282,-0.33106220014234,-5.51366357127516,0.744017169178662,0.985836210711108,0,0,0.709945415048658,-0.0352320149901878,1.4551228450875,24.1643784639282,1.98644950906303,-4.46568352569385,0.0607602096880504,0.996101305024912,0,0
"B9A064","IGLL5_HUMAN","IGLL5","Immunoglobulin lambda-like polypeptide 5",1,1,FALSE,20.5435208565393,23.9025836934365,NA,23.9076250698973,22.60383309461,21.5350199799581,NA,25.1634878512777,22.4247015475163,22.0429327016932,22.176888406659,20.2071166009181,21.6748085995935,NA,NA,21.8295968240686,19.0852069347482,20.3894220210014,23.3443665720765,25.0754806582604,22.7681214165698,20.1287750441878,1.39514316595766,-0.590728726770392,3.38101505868571,22.1557493262784,1.48825196731188,-4.53223482003658,0.155961242194005,0.96930920464428,0,0,2.035029015938,0.036106013409094,4.03395201846691,22.1557493262784,2.15666881469757,-4.42256327926584,0.0464492781848225,0.994350208748321,1,0,0.469266858293423,-1.20252419910766,2.14105791569451,22.1557493262784,0.594629983159959,-4.65539221414957,0.560334769296038,0.982662080818826,0,0,-0.170618991686922,-1.76710140515323,1.42586342177939,22.1557493262784,-0.226397773001267,-5.50132981992813,0.823734269687801,0.985836210711108,0,0,0.639885849980345,-1.67174591916314,2.95151761912383,22.1557493262784,0.58639839158124,-4.62779923355275,0.565719263814529,0.996101305024912,0,0
"O00187","MASP2_HUMAN","MASP2","Mannan-binding lectin serine protease 2",6,6,FALSE,24.3489761378473,23.4041672439564,23.8010248837342,24.1182075628165,23.526637014524,24.0403946577641,23.5158222362191,23.138846461963,24.3151632150608,23.9957581276813,24.2556699580815,24.1935908172608,24.1077273028362,24.2411418867061,23.5937021830554,22.7791201413839,23.1320877847727,22.1751956574289,24.1603618827391,24.0358184552572,23.4550767115022,24.1551307712867,-0.18576311811551,-0.873369512244899,0.501843276013879,23.7495282315399,-0.563289752058168,-4.65022450536042,0.57945540556408,0.96930920464428,0,0,0.137988003972225,-0.596546291463148,0.872522299407599,23.7495282315399,0.391689129851844,-4.65466858326856,0.699401399554756,0.994350208748321,0,0,-0.0897763788881676,-0.675511969271821,0.495959211495485,23.7495282315399,-0.319574954204249,-4.69098146663958,0.752581751599081,0.982662080818826,0,0,-0.413527500975903,-0.995688426986816,0.168633425035011,23.7495282315399,-1.48106325972256,-4.63491484114058,0.15406537332151,0.975226410142607,0,0,0.323751122087735,-0.502080292679208,1.14958253685468,23.7495282315399,0.817395320906596,-4.61516019423983,0.423267087039595,0.996101305024912,0,0
"O00391","QSOX1_HUMAN","QSOX1","Sulfhydryl oxidase 1",9,9,FALSE,21.6132585069445,21.1822669093075,21.5792225334492,21.412071512484,21.5046367480795,21.5492586033731,21.6885216902072,20.8444962709469,21.3582780997662,21.6678197404546,21.6173393626464,21.8565021136271,21.6465401454655,21.0859643095256,21.0487128902745,21.3824473010245,21.3895541024376,21.7415462589565,21.2565773734032,21.3491499664489,21.2291525104527,21.3718589893029,-0.149622889039946,-0.500042097261189,0.200796319181296,21.4261443608444,-0.890271348380771,-4.61550544354746,0.383831616325264,0.96930920464428,0,0,-0.202779242683111,-0.577113932434958,0.171555447068737,21.4261443608444,-1.12947256420928,-4.58254127977138,0.271971687930146,0.994350208748321,0,0,-0.017025008679596,-0.315528634535377,0.281478617176185,21.4261443608444,-0.118918656951498,-4.69976157800831,0.906517921080258,0.996032030693816,0,0,0.0361313449635681,-0.260550554000423,0.332813243927559,21.4261443608444,0.253924930661435,-5.53382661386745,0.80212781221954,0.985836210711108,0,0,-0.0531563536431641,-0.474018045677409,0.367705338391081,21.4261443608444,-0.263346802530647,-4.64742538272482,0.79495869494098,0.996101305024912,0,0
