uniprot_id,gene,n_miss,pct_miss,mean_int,class
P68871,HBB,0,0,33.12390912849036,Complete
P69905,HBA1,0,0,32.387650825797365,Complete
P02144,MB,0,0,30.893621405316207,Complete
P02768,ALB,0,0,31.164577279450835,Complete
P06732,CKM,0,0,30.277804243431454,Complete
P04075,ALDOA,0,0,29.597292651244462,Complete
P04406,GAPDH,0,0,29.537674435637342,Complete
P12277,CKB,0,0,29.281323965824026,Complete
P07451,CA3,0,0,29.09141087172583,Complete
Q13642,FHL1,0,0,28.44575793616658,Complete
P68133,ACTA1,0,0,28.047898971740096,Complete
P06733,ENO1,0,0,28.32115482440805,Complete
P13929,ENO3,0,0,27.57129651208638,Complete
P60709,ACTB,0,0,27.809905811002263,Complete
P01857,IGHG1,0,0,27.61010275421922,Complete
P32119,PRDX2,0,0,27.758936255879068,Complete
P14618,PKM,0,0,27.32426701485102,Complete
P60174,TPI1,0,0,27.292204070435478,Complete
P09104,ENO2,0,0,27.13687017451145,Complete
P18669,PGAM1,0,0,27.3400391219552,Complete
P31415,CASQ1,2,6.896551724137931,27.03070184427458,MNAR
P00558,PGK1,0,0,27.106669218228834,Complete
P04792,HSPB1,0,0,27.034822474536032,Complete
P05976,MYL1,1,3.4482758620689653,26.31585318528022,MNAR
P11217,PYGM,0,0,26.458144296326175,Complete
P02511,CRYAB,0,0,26.792394668664993,Complete
P00338,LDHA,0,0,26.700007639468723,Complete
P10916,MYL2,1,3.4482758620689653,26.267753048110105,MNAR
P00568,AK1,0,0,26.564111439819264,Complete
P15090,FABP4,0,0,26.00983802648825,Complete
P05413,FABP3,0,0,26.310226975795334,Complete
O14983,ATP2A1,2,6.896551724137931,26.27638960833586,MNAR
P00918,CA2,0,0,26.605941528382836,Complete
P40925,MDH1,0,0,26.417774445801538,Complete
P01009,SERPINA1,0,0,26.507411874076432,Complete
P12883,MYH7,1,3.4482758620689653,25.54883683886508,MNAR
P01859,IGHG2,0,0,26.39463793636863,Complete
P15259,PGAM2,1,3.4482758620689653,26.088759697692694,MNAR
P11216,PYGB,0,0,26.07082472112679,Complete
P30041,PRDX6,0,0,26.073435364018874,Complete
P48735,IDH2,0,0,25.93256586917026,Complete
Q9UKX2,MYH2,1,3.4482758620689653,25.245234889022843,MNAR
Q96A32,MYLPF,2,6.896551724137931,25.71317770060666,MNAR
P16615,ATP2A2,0,0,25.602972107576118,Complete
P02787,TF,0,0,26.138947783665536,Complete
P06576,ATP5F1B,0,0,25.983098954737038,Complete
P40926,MDH2,0,0,25.856418606951106,Complete
P00738,HP,0,0,25.72877364885982,Complete
P25705,ATP5F1A,0,0,25.77617277130184,Complete
P0DOY2,IGLC2,0,0,25.60630758254556,Complete
P12882,MYH1,3,10.344827586206897,25.10990239657116,MNAR
P08237,PFKM,0,0,25.298225147276973,Complete
P23297,S100A1,0,0,25.43815047758279,Complete
O14558,HSPB6,0,0,25.571578825141113,Complete
P68104,EEF1A1,0,0,25.901248347950823,Complete
O00757,FBP2,2,6.896551724137931,25.427656783666592,MNAR
P18085,ARF4,0,0,25.70402419631777,Complete
P12235,SLC25A4,0,0,25.117158054015697,Complete
P02585,TNNC2,2,6.896551724137931,25.119173114605456,MNAR
P36871,PGM1,0,0,25.34615278219797,Complete
P62258,YWHAE,0,0,25.573754577149856,Complete
P17174,GOT1,0,0,25.121293249022226,Complete
